Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
775517,RO874232,IT Support,237193 CAD,25-04-2018
886152,DE325476,Waste management services,53366.4 EUR,19-04-2018
943984,IT145632,Various paper supplies,17708.4 CAD,24-05-2018
322472,RO254678,Beverages and Catering,38691.6 EUR,05-05-2018
568739,RO657483,IT Support,29336.4 USD,12-05-2018
324076,DE763212,Concierge Services,12499.2 CAD,0000-00-00
530301,DE456232,Concierge Services,295852 USD,14-05-2018
897367,RO892123,Concierge Services,202142 EUR,19-05-2018
996194,DE763212,Professional Services,196015 EUR,13-05-2018
507261,DE763212,Professional Services,124298 EUR,21-05-2018
286690,IT213456,Various paper supplies,319670 CAD,21-05-2018
260717,FR065748,Waste management services,281560 RON,21-05-2018
743110,DE767565,Waste management services,106819 EUR,08-05-2018
728526,DE767565,IT Support,281801 USD,04-06-2018
309023,RO874232,Waste management services,240314 EUR,15-06-2018
486452,FR453231,IT Support,112607 RON,24-06-2018
874315,RU567434,Various paper supplies,211859 EUR,03-06-2018
361131,FR065748,Waste management services,137280 USD,16-06-2018
274677,RO892123,IT Support,313624 CAD,04-06-2018
633452,RO345879,Professional Services,240468 CAD,19-06-2018
354238,RO874232,Professional Services,138636 RON,08-06-2018
789857,IT145632,Various paper supplies,8257.2 EUR,22-06-2018
184246,FR121212,Beverages and Catering,35187.6 EUR,01-06-2018
720551,DE767565,Beverages and Catering,156248 EUR,07-06-2018
694112,DE456232,Waste management services,186842 USD,12-07-2018
637595,FR065748,Professional Services,299200 EUR,23-07-2018
866622,RO874231,Waste management services,128057 EUR,16-07-2018
537996,IT231232,IT Support,116542 USD,11-07-2018
243314,FR065748,IT Support,81475.2 RON,27-07-2018
580462,RO345879,Waste management services,291080 CAD,26-07-2018
591122,DE325476,Concierge Services,213006 USD,08-07-2018
368189,FR453231,Concierge Services,284538 USD,10-07-2018
164383,FR453231,Beverages and Catering,278846 EUR,22-07-2018
429708,IT213456,Professional Services,176066 CAD,24-07-2018
541836,FR065748,Waste management services,213276 EUR,06-07-2018
384268,RO345879,Waste management services,307747 RON,03-07-2018
880717,IT145632,Waste management services,258624 RON,05-07-2018
932630,RO657483,Professional Services,358859 USD,02-07-2018
503966,FR065748,Beverages and Catering,159446 CAD,13-07-2018
353258,DE456232,Waste management services,146228 RON,23-07-2018
858836,RO892123,Professional Services,127447 RON,11-08-2018
332526,RU567434,Beverages and Catering,317962 USD,01-08-2018
530084,RO874232,IT Support,66823.2 USD,12-08-2018
962715,IT145632,IT Support,343434 EUR,28-08-2018
724821,DE763212,Waste management services,26142 USD,07-08-2018
529761,IT213456,Concierge Services,340026 CAD,16-08-2018
489286,FR121212,Beverages and Catering,69702 USD,11-08-2018
976330,DE767565,Various paper supplies,332837 RON,17-08-2018
382621,FR322345,Waste management services,166247 RON,16-08-2018
709698,RO657483,Various paper supplies,345065 RON,13-08-2018
248814,RU567434,IT Support,150629 RON,19-08-2018
449835,DE763212,Beverages and Catering,268992 RON,02-08-2018
656946,FR322345,Professional Services,29910 EUR,28-08-2018
613239,DE767565,Waste management services,341500 CAD,16-08-2018
504646,FR322345,Waste management services,353910 CAD,27-09-2018
144426,DE763212,IT Support,70903.2 USD,25-09-2018
683794,IT231232,Concierge Services,207616 CAD,17-09-2018
212873,RO874231,IT Support,101802 USD,06-09-2018
681823,DE767565,Various paper supplies,184294 CAD,10-09-2018
170820,DE325476,Waste management services,351914 RON,28-09-2018
574148,DE763212,Beverages and Catering,35472 USD,07-09-2018
728594,RO892123,IT Support,235261 EUR,23-09-2018
342278,IT213456,Beverages and Catering,260964 USD,28-09-2018
265293,RO657483,Concierge Services,46866 CAD,10-09-2018
531395,FR065748,Waste management services,233188 RON,0000-00-00
233813,DE325476,Beverages and Catering,125992 RON,15-09-2018
419751,RO874232,IT Support,72973.2 RON,08-09-2018
379061,RO657483,Various paper supplies,97646.4 USD,15-09-2018
897239,FR065748,Beverages and Catering,215150 CAD,16-09-2018
335650,FR322345,Beverages and Catering,39122.4 RON,11-09-2018
982148,RO125678,Waste management services,64660.8 EUR,10-09-2018
213300,DE763212,Waste management services,232169 CAD,23-10-2018
395330,RO254678,Various paper supplies,297022 RON,17-10-2018
354122,FR322345,Beverages and Catering,141436 RON,06-10-2018
836025,RO874232,IT Support,284130 EUR,12-10-2018
374632,IT231232,IT Support,54217.2 CAD,06-10-2018
948568,IT213456,Beverages and Catering,88654.8 CAD,11-10-2018
172001,RO125678,Professional Services,24121.2 RON,27-10-2018
173406,DE325476,IT Support,216284 RON,08-10-2018
313160,RO874231,Waste management services,324870 CAD,16-10-2018
218494,DE456232,IT Support,341249 USD,08-10-2018
318162,RO874231,Waste management services,45290.4 RON,08-10-2018
475399,RO874232,IT Support,236104 CAD,27-10-2018
801149,FR453231,Beverages and Catering,215838 CAD,16-10-2018
409025,IT213456,Professional Services,2652 RON,02-11-2018
184623,DE767565,Waste management services,121265 RON,19-11-2018
733570,RO657483,Professional Services,349687 RON,03-11-2018
580516,IT231232,Various paper supplies,332929 USD,18-11-2018
175175,IT231232,Beverages and Catering,125458 EUR,0000-00-00
494191,RO254678,Waste management services,67536 RON,12-11-2018
827787,RU567434,Various paper supplies,103085 RON,10-11-2018
385677,IT145632,Concierge Services,95485.2 USD,16-11-2018
681891,RO892123,Concierge Services,85827.6 RON,01-11-2018
336251,RU567434,Concierge Services,291366 CAD,24-11-2018
780993,FR065748,Professional Services,85206 USD,18-11-2018
823368,RO874232,Various paper supplies,255266 CAD,23-11-2018
928234,FR322345,IT Support,21207.6 RON,18-11-2018
841805,DE763212,Beverages and Catering,111870 EUR,24-11-2018
480255,IT145632,Various paper supplies,106052 RON,23-11-2018
696264,DE325476,Professional Services,51272.4 USD,12-11-2018
493482,FR453231,Concierge Services,190159 USD,19-11-2018
127872,IT231232,Concierge Services,278597 RON,22-11-2018
805406,RO657483,Concierge Services,184495 EUR,15-12-2018
836853,DE456232,Waste management services,206212 EUR,05-12-2018
515615,DE456232,Professional Services,179276 CAD,15-12-2018
241236,DE767565,Various paper supplies,248794 EUR,07-12-2018
496560,RO874231,Concierge Services,210814 EUR,03-12-2018
178765,DE763212,Concierge Services,158737 USD,21-12-2018
898615,DE456232,Waste management services,277003 CAD,08-12-2018
540431,DE456232,Waste management services,154841 EUR,17-12-2018
205476,RO892123,Concierge Services,332693 EUR,27-12-2018
604668,RO254678,Waste management services,16338 EUR,0000-00-00
273679,FR322345,Various paper supplies,108416 USD,13-12-2018
391048,RO254678,Waste management services,226798 CAD,14-12-2018
